Timestamp,Brain Wave Type,Start Value,Max Value,Ending Value,Average Value,Change in Value,Summary,,,,,,,,,
2018-04-03 10:02:15.702 to 2018-04-03 10:02:17.225,Delta_AF8,0.003584339,0.122060788,0.001820316,0.078561758,0.118476449,"From 2018-04-03 10:02:15.702 to 2018-04-03 10:02:17.225, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:18.033 to 2018-04-03 10:02:25.064,Delta_AF8,-0.179785408,1.200341612,-0.074730618,0.709667155,1.38012702,"From 2018-04-03 10:02:18.033 to 2018-04-03 10:02:25.064, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:25.807 to 2018-04-03 10:02:49.473,Delta_AF8,-0.033977515,2.358451082,-0.039311031,1.23427979,2.392428597,"From 2018-04-03 10:02:25.807 to 2018-04-03 10:02:49.473, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:50.415 to 2018-04-03 10:02:57.335,Delta_AF8,-0.023236785,1.227756557,-0.080533757,0.611067263,1.250993342,"From 2018-04-03 10:02:50.415 to 2018-04-03 10:02:57.335, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:02:58.560 to 2018-04-03 10:02:58.888,Delta_AF8,-0.008937895,0.009267465,-0.005974115,0.005967579,0.01820536,"From 2018-04-03 10:02:58.560 to 2018-04-03 10:02:58.888, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:04.375 to 2018-04-03 10:03:06.472,Delta_AF8,-0.221576856,0.957732252,-0.074190959,0.747485754,1.179309107,"From 2018-04-03 10:03:04.375 to 2018-04-03 10:03:06.472, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:07.657 to 2018-04-03 10:03:11.680,Delta_AF8,-0.136557291,0.880685247,-0.052608183,0.419918333,1.017242539,"From 2018-04-03 10:03:07.657 to 2018-04-03 10:03:11.680, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:14.085 to 2018-04-03 10:03:15.084,Delta_AF8,0.014460706,0.086264342,0.012041404,0.068499439,0.071803636,"From 2018-04-03 10:03:14.085 to 2018-04-03 10:03:15.084, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:20.977 to 2018-04-03 10:03:22.796,Delta_AF8,-0.047864405,0.33131395,-0.092046706,0.232605885,0.379178355,"From 2018-04-03 10:03:20.977 to 2018-04-03 10:03:22.796, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:26.394 to 2018-04-03 10:03:28.400,Delta_AF8,-0.119848168,0.322572912,-0.09971293,0.224520179,0.44242108,"From 2018-04-03 10:03:26.394 to 2018-04-03 10:03:28.400, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:40.958 to 2018-04-03 10:03:44.970,Delta_AF8,-0.490014793,1.263289449,-0.157743915,0.590496979,1.753304242,"From 2018-04-03 10:03:40.958 to 2018-04-03 10:03:44.970, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
2018-04-03 10:03:46.594 to 2018-04-03 10:03:50.608,Delta_AF8,-0.035395548,0.206031335,-0.017000987,0.110761,0.241426882,"From 2018-04-03 10:03:46.594 to 2018-04-03 10:03:50.608, Delta_AF8 spiked significantly, indicating heightened activity.",,,,,,,,,
